car_name,model_year,age_years,present_price_lakhs,kms_driven,fuel_type,seller_type,transmission,owner_count,selling_price_lakhs
Hyundai Creta,2012,12,14.8,116966,Diesel,Dealer,Automatic,2,2.32
Toyota Innova Crysta,2022,2,24.14,20772,Diesel,Dealer,Manual,0,19.17
Maruti Baleno,2013,11,8.03,107718,Petrol,Individual,Manual,0,1.2
Tata Harrier,2015,9,17.68,118628,Diesel,Individual,Automatic,0,4.57
Tata Harrier,2022,2,19.13,14149,Diesel,Dealer,Automatic,0,16.65
Maruti Swift,2021,3,6.92,35910,Petrol,Individual,Manual,0,3.97
Toyota Fortuner,2021,3,34.43,28537,Diesel,Dealer,Automatic,0,25.17
Tata Nexon,2011,13,11.9,155214,Diesel,Individual,Manual,0,2.47
Toyota Innova Crysta,2023,1,23.28,15901,Diesel,Individual,Manual,0,19.13
Hyundai i20,2011,13,8.62,137154,Petrol,Dealer,Manual,0,1.2
Hyundai i20,2020,4,8.78,53887,Petrol,Dealer,Manual,0,4.57
Toyota Innova Crysta,2019,5,22.76,54274,Diesel,Dealer,Manual,0,12.1
Honda City,2017,7,13.09,80982,Petrol,Dealer,Automatic,0,4.8
Tata Nexon,2011,13,11.63,177060,Diesel,Dealer,Manual,0,2.32
Maruti Baleno,2022,2,7.48,29710,Petrol,Dealer,Manual,0,6.1
Hyundai Creta,2018,6,17.16,87481,Diesel,Dealer,Manual,1,6.78
Honda City,2013,11,14.84,154135,CNG,Dealer,Automatic,0,2.96
Hyundai Creta,2018,6,13.25,82587,CNG,Dealer,Automatic,0,5.27
Hyundai Creta,2015,9,15.64,135482,Diesel,Individual,Automatic,0,3.97
Honda City,2011,13,14.63,170600,Petrol,Dealer,Automatic,0,2.77
Maruti Swift,2017,7,6.93,92293,Petrol,Individual,Manual,1,1.36
Tata Harrier,2015,9,20.49,126666,Diesel,Individual,Automatic,0,5.35
Hyundai Creta,2016,8,15.27,94168,Diesel,Individual,Automatic,0,4.96
Honda City,2016,8,13.56,106828,Petrol,Dealer,Automatic,0,3.89
Honda City,2018,6,16.71,62277,Petrol,Dealer,Automatic,1,6.07
Mahindra XUV700,2019,5,20.34,71264,Diesel,Dealer,Automatic,0,11.08
Maruti Swift,2012,12,8.39,157138,Petrol,Dealer,Manual,0,1.2
Toyota Fortuner,2019,5,39.64,67994,Diesel,Dealer,Automatic,0,20.7
Mahindra XUV700,2022,2,16.97,23343,Diesel,Dealer,Automatic,0,13.88
Mahindra XUV700,2021,3,20.66,40195,Diesel,Dealer,Automatic,0,14.68
Toyota Innova Crysta,2020,4,25.18,59537,CNG,Dealer,Manual,0,13.25
Tata Harrier,2019,5,20.0,59533,Diesel,Dealer,Automatic,0,11.27
Honda City,2023,1,14.04,4000,Petrol,Individual,Automatic,0,12.21
Tata Harrier,2020,4,17.25,44257,Petrol,Individual,Automatic,0,9.25
Tata Nexon,2020,4,12.65,40494,Diesel,Dealer,Manual,0,7.05
Toyota Innova Crysta,2017,7,20.94,97964,Diesel,Individual,Manual,1,6.67
Toyota Fortuner,2011,13,34.98,140664,Diesel,Dealer,Automatic,1,5.89
Tata Harrier,2017,7,19.63,71270,Diesel,Dealer,Automatic,0,8.44
Hyundai i20,2020,4,10.24,55824,Petrol,Individual,Manual,1,5.03
Hyundai Creta,2015,9,15.81,128072,Diesel,Dealer,Manual,1,3.9
Tata Nexon,2016,8,11.89,72493,Diesel,Dealer,Automatic,0,4.64
Maruti Swift,2020,4,6.25,38218,Petrol,Individual,Manual,0,3.63
Toyota Fortuner,2017,7,39.4,97528,Diesel,Dealer,Automatic,1,13.8
Tata Nexon,2015,9,11.23,132934,Diesel,Dealer,Manual,1,2.7
Hyundai Creta,2017,7,15.1,92759,Diesel,Dealer,Automatic,0,5.66
Toyota Innova Crysta,2019,5,25.46,46554,Diesel,Individual,Manual,1,11.09
Hyundai Creta,2013,11,16.02,134222,Diesel,Dealer,Automatic,0,3.5
Mahindra XUV700,2018,6,22.34,59972,Diesel,Individual,Automatic,0,10.21
Hyundai Creta,2012,12,18.39,144923,Diesel,Dealer,Automatic,1,3.89
Mahindra XUV700,2021,3,21.91,47211,Diesel,Individual,Automatic,0,14.38
Toyota Innova Crysta,2017,7,25.82,99696,Diesel,Individual,Manual,1,8.49
Maruti Baleno,2023,1,8.46,12948,Petrol,Individual,Manual,0,6.95
Mahindra XUV700,2012,12,18.67,143353,Diesel,Dealer,Automatic,0,3.14
Maruti Swift,2014,10,8.17,134471,Petrol,Dealer,Manual,0,1.42
Hyundai Creta,2017,7,15.17,101226,Petrol,Dealer,Automatic,0,4.88
Hyundai Creta,2013,11,17.54,117360,Diesel,Dealer,Automatic,1,3.38
Maruti Swift,2012,12,8.14,151988,Diesel,Dealer,Manual,0,1.59
Hyundai i20,2021,3,8.7,34601,Petrol,Dealer,Manual,0,6.28
Honda City,2020,4,14.05,46715,Petrol,Dealer,Automatic,0,8.22
Maruti Baleno,2017,7,6.85,90809,Petrol,Individual,Manual,1,1.26
Toyota Fortuner,2011,13,41.19,158000,Diesel,Dealer,Automatic,1,6.95
Mahindra XUV700,2018,6,24.53,60863,Diesel,Individual,Automatic,0,11.03
Maruti Swift,2013,11,5.95,165687,Petrol,Dealer,Manual,0,1.2
Toyota Innova Crysta,2022,2,26.38,26457,Diesel,Dealer,Manual,0,20.88
Mahindra XUV700,2022,2,22.28,22263,Diesel,Dealer,Automatic,0,18.78
Honda City,2023,1,12.42,14254,Petrol,Dealer,Automatic,0,11.88
Toyota Innova Crysta,2012,12,22.35,129891,Diesel,Dealer,Manual,0,4.77
Tata Nexon,2013,11,11.91,134985,Diesel,Dealer,Manual,2,2.19
Hyundai Creta,2015,9,15.71,107056,Diesel,Dealer,Automatic,1,4.35
Tata Nexon,2021,3,11.62,33700,Diesel,Individual,Manual,0,7.73
Mahindra XUV700,2018,6,23.43,65377,Diesel,Dealer,Automatic,0,11.85
Honda City,2020,4,12.6,55684,Petrol,Dealer,Automatic,1,6.45
Maruti Baleno,2017,7,8.4,62687,Petrol,Individual,Manual,0,2.56
Mahindra XUV700,2017,7,21.23,63633,Diesel,Dealer,Automatic,0,9.22
Maruti Swift,2022,2,6.44,26510,Petrol,Dealer,Manual,0,5.08
Tata Harrier,2017,7,19.56,76734,Diesel,Individual,Automatic,0,7.07
Mahindra XUV700,2018,6,18.95,82567,Diesel,Dealer,Manual,0,8.22
Hyundai Creta,2011,13,17.59,150304,Diesel,Dealer,Automatic,0,3.63
Hyundai Creta,2014,10,18.91,111874,Diesel,Dealer,Automatic,0,5.15
Mahindra XUV700,2023,1,19.4,9236,Diesel,Dealer,Automatic,0,18.81
Toyota Innova Crysta,2016,8,23.69,95080,Diesel,Dealer,Manual,0,8.01
Tata Harrier,2019,5,19.18,63049,Diesel,Dealer,Automatic,1,9.35
Maruti Swift,2023,1,7.67,11156,Petrol,Individual,Manual,0,6.11
Mahindra XUV700,2012,12,19.0,125467,Diesel,Dealer,Automatic,1,3.52
Toyota Innova Crysta,2011,13,24.02,151994,Diesel,Dealer,Manual,0,4.29
Hyundai Creta,2023,1,17.13,13414,Petrol,Dealer,Automatic,0,15.7
Hyundai Creta,2020,4,15.7,54054,Diesel,Dealer,Automatic,1,8.97
Honda City,2022,2,14.88,24502,CNG,Dealer,Automatic,0,11.68
Mahindra XUV700,2012,12,20.37,139776,Diesel,Individual,Automatic,0,3.61
Tata Harrier,2017,7,16.6,91403,Diesel,Individual,Automatic,0,6.16
Hyundai i20,2013,11,8.57,128485,Petrol,Dealer,Manual,1,1.2
Tata Harrier,2020,4,19.44,35659,Diesel,Dealer,Automatic,0,12.65
Hyundai Creta,2012,12,15.92,145164,Diesel,Individual,Automatic,0,3.35
Hyundai Creta,2021,3,12.58,42340,Diesel,Individual,Manual,0,7.62
Tata Nexon,2017,7,11.83,66778,Diesel,Dealer,Automatic,2,4.15
Hyundai Creta,2023,1,13.19,12265,Diesel,Dealer,Automatic,0,12.32
Maruti Swift,2023,1,7.07,7509,Petrol,Individual,Manual,0,5.88
Toyota Fortuner,2012,12,33.96,171917,Diesel,Individual,Automatic,0,6.88
Mahindra XUV700,2013,11,20.14,117209,Diesel,Dealer,Automatic,1,3.86
Tata Harrier,2021,3,18.26,40385,Diesel,Individual,Automatic,0,12.09
Toyota Fortuner,2017,7,40.23,76802,Diesel,Dealer,Automatic,0,17.09
Toyota Innova Crysta,2014,10,22.57,110419,Diesel,Dealer,Manual,0,5.58
Hyundai i20,2023,1,9.74,9055,Petrol,Dealer,Manual,0,9.03
Maruti Swift,2011,13,8.18,163402,Petrol,Dealer,Manual,1,1.2
Tata Harrier,2023,1,17.86,9958,Diesel,Dealer,Automatic,0,17.22
Toyota Fortuner,2015,9,37.77,86012,Diesel,Dealer,Manual,0,11.74
Hyundai i20,2022,2,9.16,19209,Petrol,Individual,Manual,0,5.91
Tata Nexon,2019,5,10.23,72867,Diesel,Dealer,Manual,0,4.05
Maruti Swift,2018,6,7.85,93112,Petrol,Dealer,Manual,2,2.3
Maruti Swift,2022,2,6.84,25953,Petrol,Individual,Manual,0,4.9
Tata Nexon,2019,5,11.07,69345,Diesel,Individual,Manual,0,5.28
Mahindra XUV700,2020,4,20.09,35820,Diesel,Dealer,Manual,0,12.43
Tata Nexon,2019,5,10.09,52228,Diesel,Dealer,Manual,0,5.03
Maruti Swift,2017,7,8.2,92400,CNG,Dealer,Automatic,1,2.62
Maruti Swift,2014,10,7.24,91265,Petrol,Dealer,Automatic,0,2.13
Toyota Fortuner,2015,9,33.38,94358,Diesel,Dealer,Automatic,0,11.32
Hyundai Creta,2011,13,14.61,128731,Diesel,Individual,Automatic,0,2.08
Hyundai i20,2011,13,8.66,135951,Petrol,Individual,Manual,1,1.47
Tata Nexon,2013,11,11.0,120265,Diesel,Individual,Manual,1,1.94
Hyundai i20,2023,1,9.46,8407,Petrol,Individual,Manual,0,8.31
Tata Nexon,2018,6,13.54,88835,Diesel,Dealer,Manual,0,5.49
Toyota Innova Crysta,2012,12,26.34,149757,Diesel,Dealer,Manual,0,4.63
Maruti Swift,2014,10,7.45,92760,Petrol,Dealer,Manual,2,1.31
Hyundai Creta,2012,12,16.0,118510,Diesel,Individual,Automatic,0,3.62
Toyota Fortuner,2015,9,39.35,109790,Diesel,Dealer,Automatic,1,11.2
Hyundai Creta,2019,5,13.15,52923,Diesel,Dealer,Automatic,0,7.2
Hyundai Creta,2011,13,18.76,153035,Diesel,Dealer,Automatic,1,3.47
Hyundai Creta,2015,9,13.79,118846,Diesel,Individual,Automatic,0,4.19
Hyundai i20,2019,5,8.51,75935,Petrol,Individual,Manual,0,2.44
Tata Nexon,2011,13,10.68,168897,Diesel,Individual,Manual,0,1.68
Maruti Baleno,2019,5,7.11,58442,Petrol,Dealer,Manual,1,3.04
Toyota Innova Crysta,2018,6,25.53,67637,Diesel,Dealer,Manual,0,11.28
Tata Harrier,2014,10,14.8,140154,Diesel,Individual,Automatic,2,3.18
Hyundai Creta,2022,2,16.79,29116,Diesel,Dealer,Automatic,0,14.09
Mahindra XUV700,2021,3,18.97,28827,Diesel,Dealer,Automatic,0,14.08
Hyundai i20,2020,4,8.04,59367,Petrol,Individual,Manual,0,4.22
Toyota Fortuner,2015,9,33.9,82807,Diesel,Dealer,Automatic,0,12.03
Tata Harrier,2023,1,20.14,16583,Diesel,Dealer,Automatic,0,18.73
Maruti Baleno,2015,9,8.36,83791,Petrol,Dealer,Manual,0,2.2
Mahindra XUV700,2021,3,18.26,40477,Diesel,Individual,Automatic,0,11.8
Maruti Baleno,2022,2,8.63,30545,Petrol,Dealer,Automatic,0,6.4
Tata Harrier,2016,8,21.26,114483,Diesel,Dealer,Automatic,1,5.97
Hyundai Creta,2017,7,16.44,90696,Diesel,Individual,Automatic,1,5.4
Mahindra XUV700,2018,6,21.93,50600,Diesel,Individual,Automatic,0,10.06
Maruti Baleno,2018,6,8.43,63070,Petrol,Dealer,Manual,0,4.01
Toyota Fortuner,2021,3,35.09,31752,Diesel,Dealer,Automatic,0,25.82
Tata Nexon,2023,1,12.25,9815,Diesel,Dealer,Manual,0,11.27
Maruti Swift,2012,12,7.15,110954,Petrol,Dealer,Manual,0,1.2
Tata Nexon,2019,5,9.87,67653,Petrol,Individual,Automatic,0,4.83
Tata Harrier,2017,7,20.25,93984,Diesel,Dealer,Manual,0,7.51
Hyundai i20,2014,10,8.03,118283,Petrol,Individual,Manual,0,1.4
Maruti Swift,2014,10,7.58,113317,Petrol,Dealer,Manual,0,1.69
Toyota Innova Crysta,2021,3,25.65,31041,Diesel,Individual,Manual,0,16.72
Toyota Fortuner,2018,6,40.65,51147,Diesel,Dealer,Automatic,1,18.39
Toyota Innova Crysta,2014,10,22.12,110726,Diesel,Dealer,Manual,0,5.82
Mahindra XUV700,2023,1,23.91,7080,Diesel,Dealer,Automatic,0,22.75
Maruti Swift,2016,8,6.99,80043,Petrol,Dealer,Automatic,0,1.99
Toyota Innova Crysta,2015,9,28.15,130448,CNG,Dealer,Manual,0,6.35
Toyota Innova Crysta,2013,11,22.57,165210,Diesel,Individual,Manual,0,4.74
Maruti Baleno,2023,1,8.87,4000,Petrol,Individual,Manual,0,8.0
Tata Nexon,2020,4,11.9,48056,Diesel,Dealer,Manual,1,6.7
Maruti Baleno,2021,3,7.3,27669,Diesel,Dealer,Manual,0,4.77
Maruti Swift,2012,12,7.21,155239,Petrol,Dealer,Manual,1,1.2
Maruti Swift,2019,5,7.59,60134,Petrol,Individual,Manual,1,2.51
Tata Harrier,2020,4,17.88,41480,Diesel,Individual,Automatic,0,10.73
Maruti Baleno,2019,5,7.58,66275,Diesel,Individual,Manual,0,4.59
Honda City,2011,13,13.53,187604,Petrol,Dealer,Automatic,0,2.43
Tata Nexon,2020,4,10.45,57038,Diesel,Dealer,Manual,1,4.94
Maruti Swift,2013,11,7.57,124788,Petrol,Dealer,Manual,0,1.2
Tata Harrier,2018,6,19.56,78944,Diesel,Dealer,Automatic,2,6.59
Maruti Baleno,2016,8,8.61,102039,Petrol,Individual,Manual,1,1.59
Tata Nexon,2015,9,12.83,86251,Diesel,Individual,Manual,0,4.13
Maruti Baleno,2015,9,8.72,89267,Petrol,Dealer,Manual,1,1.63
Toyota Innova Crysta,2016,8,24.34,89220,Diesel,Dealer,Manual,2,7.0
Tata Harrier,2017,7,19.67,65569,Diesel,Dealer,Automatic,0,8.29
Tata Nexon,2011,13,11.93,157874,Petrol,Individual,Manual,0,1.75
Hyundai Creta,2019,5,14.82,53491,Petrol,Dealer,Automatic,0,7.39
Mahindra XUV700,2013,11,25.01,146316,CNG,Dealer,Automatic,1,3.45
Mahindra XUV700,2014,10,22.77,148331,Diesel,Dealer,Automatic,1,5.38
Tata Nexon,2020,4,11.38,51408,Diesel,Dealer,Manual,1,5.98
Maruti Baleno,2011,13,7.57,170194,Diesel,Individual,Manual,0,1.5
Tata Harrier,2023,1,20.87,8654,Diesel,Dealer,Automatic,0,20.31
Mahindra XUV700,2021,3,20.57,44749,Diesel,Dealer,Automatic,0,14.25
Tata Harrier,2020,4,20.25,39248,Diesel,Individual,Automatic,1,10.46
Mahindra XUV700,2013,11,21.42,129205,Diesel,Dealer,Manual,0,4.49
Toyota Innova Crysta,2012,12,20.16,132200,Diesel,Individual,Manual,0,3.64
Maruti Baleno,2012,12,8.69,120544,Petrol,Individual,Manual,1,1.58
Toyota Innova Crysta,2011,13,25.74,170046,Diesel,Dealer,Manual,1,4.07
Mahindra XUV700,2018,6,18.89,64515,Diesel,Dealer,Manual,2,6.93
Hyundai Creta,2013,11,13.77,112237,Diesel,Dealer,Automatic,1,2.95
Hyundai Creta,2013,11,15.08,153233,Diesel,Dealer,Automatic,1,2.44
Toyota Innova Crysta,2016,8,25.1,87930,Diesel,Individual,Manual,0,8.19
Hyundai Creta,2023,1,13.85,9241,Diesel,Dealer,Automatic,0,13.28
Mahindra XUV700,2018,6,22.69,94737,Diesel,Dealer,Automatic,0,10.04
Tata Nexon,2023,1,12.59,8816,Diesel,Individual,Manual,0,10.61
Toyota Innova Crysta,2019,5,22.92,45843,Diesel,Dealer,Manual,1,10.2
Hyundai i20,2019,5,8.43,49435,Petrol,Dealer,Manual,1,3.7
Maruti Baleno,2014,10,8.07,124880,Diesel,Individual,Manual,0,1.85
Hyundai Creta,2015,9,18.1,125203,Diesel,Dealer,Automatic,0,5.1
Hyundai Creta,2012,12,14.47,113860,Diesel,Dealer,Automatic,0,3.49
Maruti Swift,2021,3,6.49,28056,Diesel,Dealer,Automatic,0,5.12
Honda City,2019,5,13.23,54204,Petrol,Dealer,Automatic,1,6.04
Toyota Innova Crysta,2018,6,24.16,74120,Diesel,Individual,Automatic,1,8.95
Toyota Fortuner,2013,11,37.09,131296,Diesel,Individual,Manual,1,6.69
Hyundai Creta,2021,3,14.07,25319,Diesel,Dealer,Automatic,0,10.57
Maruti Baleno,2022,2,8.53,25281,Petrol,Individual,Manual,0,6.49
Hyundai i20,2023,1,9.71,14592,Petrol,Dealer,Manual,0,8.17
Hyundai Creta,2019,5,16.05,64598,CNG,Dealer,Automatic,0,7.59
Hyundai i20,2013,11,8.16,102429,Petrol,Dealer,Manual,0,1.76
Mahindra XUV700,2019,5,20.72,66633,Diesel,Individual,Automatic,2,8.51
Mahindra XUV700,2012,12,23.09,142908,Diesel,Dealer,Automatic,1,4.77
Honda City,2022,2,13.37,22666,Petrol,Dealer,Manual,0,10.07
Tata Nexon,2020,4,12.48,41519,Diesel,Individual,Manual,0,7.11
Toyota Fortuner,2019,5,38.67,52698,Diesel,Dealer,Automatic,1,18.63
Maruti Swift,2018,6,6.25,69299,Petrol,Dealer,Manual,1,1.4
Honda City,2019,5,13.15,69161,Petrol,Dealer,Automatic,0,6.26
Tata Harrier,2015,9,22.04,107795,Diesel,Dealer,Automatic,0,6.64
Maruti Swift,2021,3,7.69,43286,Petrol,Dealer,Manual,0,4.75
Toyota Innova Crysta,2021,3,21.83,35084,Diesel,Dealer,Manual,0,14.55
Maruti Baleno,2012,12,7.89,177253,Petrol,Dealer,Manual,0,1.25
Tata Harrier,2018,6,17.74,87318,Diesel,Individual,Automatic,0,7.62
Tata Harrier,2022,2,16.14,22796,Diesel,Dealer,Automatic,0,13.37
Honda City,2016,8,12.77,106905,Petrol,Dealer,Automatic,0,4.05
Tata Nexon,2018,6,12.7,90996,Diesel,Dealer,Manual,0,5.23
Honda City,2021,3,12.37,44808,Petrol,Dealer,Automatic,0,8.22
Toyota Innova Crysta,2015,9,27.46,116361,Diesel,Dealer,Manual,0,8.08
Hyundai Creta,2020,4,15.27,51534,Diesel,Dealer,Manual,0,9.1
Hyundai Creta,2012,12,13.43,158989,Diesel,Dealer,Automatic,0,3.09
Tata Nexon,2016,8,11.67,112496,Diesel,Dealer,Manual,0,3.9
Toyota Innova Crysta,2015,9,22.76,121204,Diesel,Dealer,Manual,0,5.93
Tata Nexon,2022,2,12.82,24651,Diesel,Individual,Manual,0,9.23
Hyundai i20,2023,1,9.07,16037,Petrol,Dealer,Manual,0,7.5
Hyundai Creta,2022,2,17.93,19273,Diesel,Individual,Automatic,0,14.18
Tata Harrier,2015,9,19.17,98071,Diesel,Individual,Automatic,1,5.03
Toyota Fortuner,2023,1,40.01,11633,Diesel,Individual,Automatic,0,35.99
Maruti Baleno,2011,13,7.83,173220,Petrol,Individual,Manual,1,1.46
Toyota Innova Crysta,2012,12,25.01,154628,Diesel,Dealer,Manual,0,5.52
Maruti Swift,2018,6,8.25,59778,Petrol,Dealer,Manual,0,3.3
Tata Nexon,2023,1,11.93,7729,Diesel,Dealer,Manual,0,11.09
Maruti Baleno,2023,1,7.18,16151,Petrol,Individual,Manual,0,6.0
Maruti Swift,2013,11,7.33,106403,Petrol,Individual,Manual,1,1.39
Maruti Baleno,2020,4,8.37,52087,Petrol,Individual,Manual,0,4.57
Toyota Fortuner,2013,11,36.86,112994,Diesel,Individual,Automatic,0,8.22
Maruti Swift,2018,6,7.58,75337,Petrol,Dealer,Manual,0,2.54
Honda City,2018,6,15.06,77506,Petrol,Dealer,Automatic,0,6.48
Mahindra XUV700,2012,12,21.74,101113,Diesel,Dealer,Automatic,1,5.03
Honda City,2018,6,13.16,60503,Petrol,Individual,Automatic,0,5.35
Hyundai Creta,2021,3,13.94,37737,Diesel,Dealer,Automatic,0,10.2
Mahindra XUV700,2023,1,20.67,14601,Diesel,Dealer,Automatic,0,19.48
Honda City,2023,1,15.63,7028,Petrol,Dealer,Automatic,0,14.98
Mahindra XUV700,2011,13,23.56,157813,Petrol,Dealer,Automatic,0,3.31
Mahindra XUV700,2016,8,16.65,92651,Diesel,Individual,Automatic,0,5.68
Tata Harrier,2018,6,17.36,57474,Diesel,Dealer,Automatic,0,9.33
Tata Nexon,2013,11,12.23,134338,Diesel,Individual,Manual,0,2.5
Tata Nexon,2018,6,11.45,85935,Diesel,Individual,Manual,0,4.52
Tata Harrier,2022,2,21.81,17520,Diesel,Dealer,Automatic,0,18.91
Maruti Baleno,2011,13,8.53,117145,Petrol,Individual,Manual,0,1.2
Hyundai i20,2021,3,8.6,28907,Petrol,Dealer,Manual,0,5.79
Maruti Baleno,2021,3,9.07,31689,Petrol,Dealer,Manual,0,6.32
Maruti Swift,2019,5,7.4,71426,Petrol,Individual,Manual,0,3.19
Maruti Swift,2023,1,8.23,16923,Diesel,Dealer,Manual,0,7.32
Mahindra XUV700,2021,3,20.31,42627,CNG,Individual,Automatic,0,12.8
Honda City,2023,1,13.53,7298,Petrol,Individual,Automatic,0,11.72
Honda City,2019,5,15.62,50079,Petrol,Dealer,Manual,0,7.95
Tata Nexon,2015,9,11.84,139270,Diesel,Dealer,Manual,0,3.42
Toyota Innova Crysta,2020,4,25.43,38641,Diesel,Individual,Manual,1,13.44
Maruti Baleno,2014,10,8.23,95555,Petrol,Individual,Manual,0,1.77
Hyundai Creta,2021,3,15.78,39194,CNG,Dealer,Automatic,0,10.76
Toyota Fortuner,2016,8,40.02,104474,Diesel,Individual,Automatic,2,10.27
Honda City,2022,2,13.54,25573,Petrol,Dealer,Automatic,0,10.72
Toyota Fortuner,2017,7,41.63,100944,Diesel,Individual,Manual,0,13.95
Mahindra XUV700,2015,9,22.54,124888,Diesel,Dealer,Automatic,1,5.72
Toyota Fortuner,2021,3,36.33,44721,Petrol,Dealer,Automatic,0,23.16
Hyundai Creta,2023,1,16.91,10598,Diesel,Individual,Automatic,0,15.56
Tata Harrier,2020,4,18.79,36756,Diesel,Individual,Automatic,0,11.17
Hyundai Creta,2019,5,15.58,43002,Diesel,Dealer,Automatic,1,7.98
Toyota Fortuner,2013,11,41.83,115063,Diesel,Individual,Automatic,1,8.59
Hyundai Creta,2017,7,15.31,92267,Diesel,Dealer,Automatic,1,5.13
Hyundai i20,2020,4,8.36,54972,Petrol,Individual,Manual,0,4.14
Mahindra XUV700,2020,4,19.55,51128,Diesel,Dealer,Automatic,1,10.69
Maruti Baleno,2021,3,9.08,30973,Petrol,Individual,Manual,0,5.87
Tata Harrier,2015,9,15.57,113523,Diesel,Dealer,Manual,0,4.5
Honda City,2017,7,15.03,66269,Petrol,Dealer,Automatic,0,5.32
Maruti Swift,2012,12,7.5,116339,Petrol,Individual,Manual,0,1.2
Maruti Baleno,2014,10,7.66,139638,Petrol,Dealer,Manual,2,1.2
Maruti Swift,2012,12,6.91,143134,Petrol,Individual,Manual,0,1.34
Mahindra XUV700,2023,1,20.97,8013,Diesel,Individual,Manual,0,17.84
Tata Harrier,2023,1,17.5,15643,Diesel,Individual,Automatic,0,15.48
Tata Nexon,2022,2,12.58,25674,Diesel,Individual,Automatic,0,10.13
Honda City,2017,7,16.47,69221,Petrol,Individual,Automatic,1,4.82
Hyundai i20,2012,12,8.6,130835,Petrol,Dealer,Manual,1,1.2
Tata Nexon,2023,1,12.37,12586,Diesel,Dealer,Manual,0,11.26
Mahindra XUV700,2021,3,20.51,26682,Diesel,Individual,Automatic,0,14.88
Maruti Baleno,2011,13,7.3,147015,Petrol,Dealer,Manual,2,1.39
Hyundai i20,2019,5,8.3,70999,Diesel,Dealer,Manual,0,4.53
Hyundai Creta,2011,13,12.78,181794,Diesel,Dealer,Automatic,0,2.71
Toyota Fortuner,2018,6,38.19,82123,Diesel,Dealer,Automatic,0,17.66
Hyundai i20,2012,12,8.64,174285,Petrol,Individual,Manual,0,1.2
Mahindra XUV700,2022,2,21.19,22259,Diesel,Dealer,Automatic,0,17.8
Toyota Innova Crysta,2018,6,23.19,79887,Diesel,Dealer,Manual,1,8.85
Toyota Fortuner,2023,1,37.67,12463,Diesel,Individual,Automatic,0,34.05
Maruti Swift,2013,11,7.4,111648,Petrol,Dealer,Manual,1,1.42
Honda City,2016,8,12.35,105060,Petrol,Dealer,Automatic,1,3.03
Maruti Swift,2013,11,7.2,146951,Petrol,Dealer,Manual,1,1.48
Hyundai i20,2017,7,8.77,85027,Petrol,Dealer,Manual,0,3.18
Maruti Swift,2020,4,6.92,27105,Petrol,Dealer,Manual,0,3.65
Mahindra XUV700,2019,5,18.33,52433,CNG,Dealer,Automatic,0,9.43
Hyundai Creta,2012,12,15.87,148795,Diesel,Dealer,Automatic,1,2.74
Maruti Baleno,2022,2,6.25,19696,Petrol,Individual,Manual,0,4.81
Honda City,2022,2,13.81,21571,Petrol,Dealer,Automatic,0,10.77
Maruti Swift,2015,9,6.91,108659,Petrol,Dealer,Manual,0,2.36
Maruti Swift,2023,1,6.98,15651,Petrol,Dealer,Manual,0,5.85
Hyundai i20,2016,8,9.04,115105,Petrol,Dealer,Manual,0,2.34
Maruti Baleno,2014,10,8.25,106344,Petrol,Dealer,Manual,0,1.96
Tata Nexon,2014,10,12.38,124331,Diesel,Dealer,Automatic,0,3.34
Maruti Swift,2014,10,8.37,149189,Petrol,Individual,Automatic,0,1.91
Mahindra XUV700,2012,12,20.06,137600,Diesel,Dealer,Automatic,1,3.61
Toyota Innova Crysta,2014,10,26.6,97166,Diesel,Dealer,Manual,0,7.65
Honda City,2021,3,14.15,32246,Petrol,Individual,Automatic,0,9.15
Maruti Swift,2011,13,7.5,129308,Petrol,Individual,Manual,0,1.2
Mahindra XUV700,2022,2,22.25,32548,Diesel,Dealer,Automatic,0,17.89
Mahindra XUV700,2016,8,21.76,96137,CNG,Dealer,Automatic,1,5.97
Honda City,2011,13,14.57,122474,Petrol,Individual,Automatic,0,2.14
Tata Nexon,2020,4,12.38,40461,Petrol,Individual,Manual,2,4.89
Mahindra XUV700,2016,8,20.37,86089,Petrol,Dealer,Automatic,1,5.72
Toyota Innova Crysta,2011,13,22.58,169830,Diesel,Individual,Manual,1,3.44
Mahindra XUV700,2016,8,20.48,116429,Diesel,Dealer,Automatic,1,5.31
Mahindra XUV700,2020,4,21.32,48013,Diesel,Individual,Automatic,2,9.57
Mahindra XUV700,2018,6,22.82,76557,Diesel,Dealer,Manual,0,9.77
Hyundai Creta,2021,3,13.8,39924,Diesel,Dealer,Automatic,0,9.52
Hyundai Creta,2012,12,17.84,163278,Diesel,Individual,Automatic,2,3.14
Tata Nexon,2012,12,10.11,179976,Diesel,Dealer,Manual,2,1.58
Maruti Swift,2023,1,6.76,7573,Petrol,Individual,Manual,0,5.8
Mahindra XUV700,2022,2,20.13,30884,Diesel,Individual,Automatic,0,14.98
Maruti Baleno,2014,10,8.17,107792,Petrol,Dealer,Manual,1,1.69
Maruti Swift,2021,3,7.99,36143,CNG,Individual,Manual,0,4.83
Tata Nexon,2013,11,12.67,125648,Diesel,Dealer,Manual,1,2.04
Tata Harrier,2014,10,22.67,96503,Diesel,Individual,Automatic,2,4.71
Maruti Swift,2023,1,7.44,6951,Petrol,Individual,Manual,0,6.32
Maruti Swift,2022,2,7.68,25500,Petrol,Individual,Manual,0,4.6
Toyota Fortuner,2017,7,36.9,78552,Diesel,Dealer,Automatic,0,15.5
